Status,Name,Category,Description,Image,Influence Mapping,Collection,Language,Commissioner,Publisher,Publisher is Journalistic?,Publisher Country,Partners,Rationale (Why?),Approach (How?),Narrative,Query,Geographic Map,Timelines,Lists,Network Viz,Other  Viz,Export,Thematic Focus,Issue addressed,Keywords,Geographic Focus,Intended Impact,Target Audience,Online audience reached,Does the project have a twitter account?,Twitter Followers,Publisher's Twitter Followers (if needed),Google Page Rank,Newspasper's/Publisher's Page Rank (if applicable),Alexa Pange Rank,Newspaper's / Publisher's Alexa Page Rank (if applicable),OSE Domain Authority Rank,Marketing Grader Rank,Comments,News source,Offline Audience Reached,Outcome,Update date,Attempts against the project ,Attempts against the project #2,URL,Code URL,Code URL 2,,Technical Architecture Documentation,Technical Documentation URL,Technical Documentation URL 2,Schema Documentation,Design Documentation,API Documentation,Description2,Screenshot,Tool,Tool,Tool,DB,Other DB,Frontend,Frontend,Frontend,Backend,Backend,Backend,Frontend Language,Frontend Language 2,Backend Language,Backend Language 2,Data Format,Data Format 2,Data Standard,Other tools,Data Source 1,Data Source 2,Data Source 3,Data Source 4,Data Source 5,,,Collection,Storage,Processing,Publication,Tech Best Practice 1,Tech Best Practice 2,Tech Best Practice 3,Team Size,Research,Data Science,Engineering,Design,Project Methodology,Open Source,Open data,Budget,Contracting,Risk Planning,Sustainability Planning,Data Modeling,Ethical Collection,Ethical storage,Data collection,Data Collection #2,Data verification,Data cleaning,Data Analysis,Data Description,Data Licencing,Ethical publishing,Ethical publishing #2,Data Publishing Mode,Practice1,Practice1URL,Practice2,Practice2URL,Practice3,Practice3URL,Misc,Phase,Project start date,Launch date,Most recent update,Regularly Updated,Notes,Alternate News Sources,,
"Done
","No Ceilings
",Data provider,No Ceilings compiles and visualises data on indicators of the participation of girls and women in everyday life ,N/A,No,Single,English,"Bill and Melinda Gates Foundation, Wyss Foundation, the Cheryl Saban Self-Worth Foundation for Women and Girls, Corning, the Leslois Shaw Foundation",No Ceilings,,US,"Droga5, The Economist Intelligence Unit, Fathom, Scratch (Viacom Media Networks), WORLD Policy Analysis Centre",,"No Ceilings is a repository of data for indicators of gender equality in the world, compiled from multiple data sources and processed (usually automatically) to create a database and subsequent visualisations",yes,Yes,yes,Yes,Yes,,Yes,yes,Gender equality,The evolution of gender equality globally over time,"database, gender equality, women, girls, country, indicators, equality",World,Awareness Raising,General Public,International,yes,326,,0,,"1,895,097",,47/100,31/100,,Medium,International,Hilary Clinton presented the findings from No Ceilings's The Full Participation Report to the UN in February 2015 http://onpolitics.usatoday.com/2015/02/19/hillary-clinton-women-united-nations/,22/10/2015,N/A,,http://noceilings.org/,https://github.com/fathominfo/noceilings-data,,,,,,,,,"This site and The Full Participation Report are the result—home to 850,000 data points, spanning more than 20 years, from over 190 countries. Through data visualizations and stories, we aim to present the gains and gaps in understandable, sharable ways—including by making the data open and easily available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,Outsourced,Dedicated,Dedicated,Dedicated,Traditional,No,No,N/A,N/A,N/A,N/A,Documents,N/A,,External Sources,Trained Collectors,Triangulated,N/A,N/A,Basic,Public,Cited Sources,Signed project,Dump,Collect,https://github.com/fathominfo/noceilings-data,Organise,https://github.com/fathominfo/noceilings-data,,,,Final Product,,2015,2015,no,,,,
Done,Secrecy for Sale: Inside the Global Offshore Money Maze,Investigation ,Secrecy for Sale is a multi-story exploration of data around the global offshore money maze ,N/A,Yes,Collection,English,"International Consortium for Investigative Journalists, Center for Public Integrity",ICIJ,m,US,"Asahi (Japan), BBC Panorama (UK), CBC (Canada),Commonwealth Magazine (Taiwan), DR (Denmark), El Confidencial (Spain), El País (Spain), Fokus (Sweden), Korean Center for Investigative Journalism (Korea), Kyiv Post (Ukraine),L'espresso (Italy), Le Matin Dimanche and SonntagsZeitung (Switzerland),Le Monde (France), Le Soir(Belgium), Ming Pao (Hong Kong), Norddeutscher Rundfunk(Germany), Novaya Gazeta(Russia), La Nación (Costa Rica), Premium Times(Nigeria), Radio Free Europe/Radio Liberty (Azerbaijan), Sueddeutsche Zeitung (Germany), Ta Nea (Greece),The Global Mail (Australia), The Guardian (UK), The Irish Times (Ireland),The New York Times (USA), The Washington Post (USA), Trouw (Netherlands),YLE (Finland)",,"ICIJ released the offshore leaks in partnership with more than 20 media all around the world and gathered a myriad of stories, web apps, video reports  and analyses stemming from the leaks release. Furthermore, the ICIJ and La Nación teams reverse engineered the offshore leaks data to create a linked, searchable database of off-shore companies, enabling anyone to browse through it and to uncover new stories. ",yes,yes,yes,,yes,Yes,yes,yes,Finance,Tax havens,"database, tax havens, offshore leaks, finance, world, ICIJ, ",World,Research,General Public,International,No,,41.4K,6,7,"153,219","153,219",70/100,34/100,,Very High,International,‘Offshore Leaks’ Revelations Force Resignation of Top European Banker (source: http://www.icij.org/offshore/offshore-leaks-revelations-force-resignation-top-european-banker) | Tax Authorities Move on Leaked Offshore Documents (source:http://www.icij.org/offshore/tax-authorities-move-leaked-offshore-documents) ,22/10/2015,Legal action,,http://www.icij.org/offshore,,,,,,,,,,"The database contains ownership information about companies created in 10 offshore jurisdictions including the British Virgin Islands, the Cook Islands and Singapore. It covers nearly 30 years until 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,No,No,N/A,N/A,Risky,N/A,Relational,N/A,N/A,Trained Collectors,,N/A,Expert,Classification / Tagging / Categories / Linking,Detailed,Public,Anonymization of datasets ,Signed project,Dump,Plan,http://www.icij.org/blog/2013/04/how-we-all-survived-likely-largest-collaboration-journalism-history,Organise,http://www.icij.org/blog/2013/06/how-we-built-offshore-leaks-database,Organise,http://www.icij.org/blog/2014/01/how-we-did-offshore-leaks-china,,Final Product,2012,2013,2014,yes,,,,
Done,Map the Banks,Geocoded data,Map the Banks shows companies licensed to carry out financial activities all over the world ,http://mapthebanks.com/images/logo.png,Yes,Single,English,N/A,Open Corporates,,UK,"Open North, Civio, Open Corporates",,"Mapthebanks is partially built on Open Corporates data and uses scrapers in order to map the financial flows between countries, between financial actors (creditors, banks etc.) and shed light on the relationships of dependecy.",,,Yes,,,,,,Finance,Tracing financial flows,"banking, world, debts, financial flows, crowdsourced data, geodata",World,Awareness Raising,General Public,Small Network,No,N/A,,N/A,,"22,351,884",, 24 /100 ,58/100,,Some,N/A,N/A,"Oct 8, 2015",N/A,,http://mapthebanks.com/ ,N/A,,,,,,,,,"Collects, publishes & links data to the compagnies to give us a
 global picture of the finance sector and the financial flows between countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Outsourced,Outsourced,Dedicated,Dedicated,Agile,No,Yes,Small Project,Single Delivery,No planning,Updated,Relational,No guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Open,Cited Sources,,API,,,,,,,,Beta version,N/A,N/A,N/A,no,,,,
Done,Resource Contracts,Data provider,"Resource contracts is a database of mining, oil and pretroleum contracts from all around the world",N/A,Yes,Single,English,"African Legal Support Facility, UK Department for International Development.",Resource Governance,,United States,"The Natural Resource Governance Institute, the Columbia Center on Sustainable Investment, the World Bank Governance for Extractive Industries program.",,"Resource Contracts enables anyone to investigate and interrogate governemental policies in place in those regions by providing mining and oil contracts to analyse and understand, from different countries.",,Yes,,,Yes,,,,Extractives,Tracking the legality of contracts,"extractives, mining, resources, land, contracts, companies, legal, oil, petroleum",World,Legal Action,Broad Professional/Sectoral,N/A,,N/A,,4,,"14,634,500",, 28 /100 ,32/100,,Some,N/A,N/A,"Oct 8, 2015",N/A,,http://www.resourcecontracts.org/,https://github.com/NRGI/resourcecontracts.org,,,,,,,,,"A searchable database of petroleum, mineral and land contracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Some,None,Some,Some,Traditional,Yes,No,Medium Project,Single Delivery,No planning,N/A,Documents,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Partial,Signed project,,No,Organise,http://www.resourcecontracts.org/blog/guide-key-terms.html,Organise,http://www.resourcecontracts.org/about/faqs.html,,,,Beta version,N/A,N/A,,N/A,,,,
Done,OpenDuka,Data provider,"Open Duka is a free repository of data regarding Kenyan ownership information regarding entities, institutions",http://www.openduka.org/assets/img/od-beta-teal.png,Yes,Single,English,Open Institute,Open Institute,,Kenya,"Africa Transparency and Technology Initiative, Kenya Law",,"In partnership with Kenya Law and the Kenyan Gazette, Open Duka scraped and visualized networks of relationships between people, corporations and institutional entities in Kenya. ",,Yes,,,Yes,,,Yes,Corporations,Tracking corporate influence,"Corporations, Kenya, entities structure, open data, organizations, database,",Kenya,Awareness Raising,General Public,N/A,Yes,97,,3,,N/A,,28/100,73/100,,Some,National,N/A,"Oct 8, 2015",N/A,,http://www.openduka.org/,https://github.com/OpenInstitute/OpenDuka,,,,,,,,http://www.openduka.org/index.php/api/documentation,"How the teams behind some likely and announced candidates are connected to 
previous campaigns, administrations and organizations close to the 
possible nominees",,,,MySql,,,,,,,,,Javascript,,PHP,,,,,,,,,,,,,,,,,,,,Medium,None,Some,Some,Some,Traditional,Yes,No,N/A,N/A,No planning,Updated,Relational,No guidelines,,External Sources,,No,N/A,Classification / Tagging / Categories / Linking,No,Public,Cited Sources,Signed project,API,Collect,http://www.openduka.org/index.php/faq,,,,,,Beta version,2012,2014,N/A,N/A,,,,
Done,Presidential campaigns and staff connections ,Who's who,This NYT visualizations allows you to learn more about the work trajectory of the presidential candidates' current staff,N/A,Yes,Single,English,Self-commissionned,NYT,y,US,,,"By identifying the political trajectories and ties of the team members of the US presidential candidates, this project made by the NYT reveals who they have advised in the past and how it might influence the political game for the next presidential race.",Yes,,,,Yes,,Yes,"
",Politics,Tracking political trajectories,"presidential campaign staff, spin doctors, political system, US, politics, viz, who's who  
",United States,Awareness Raising,General Public,International,,N/A,,N/A,9,,100,98/100,81/100,,Some,National,N/A,"Oct 8, 2015",N/A,,http://www.nytimes.com/interactive/2015/05/17/us/elections/2016-presidential-campaigns-staff-connections-clinton-bush-cruz-paul-rubio-walker.html,N/A,,,,,,,,,"The Times published an interactive graphic that looks at how the teams behind some likely and announced presidential candidates are connected to previous campaigns, administrations and organizations close to the possible nominees. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Dedicated,None,Traditional,No,No,N/A,No,No planning,Updated,Relational,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Cited Sources,Signed project,No,,,,,,,,Final Product,2015,2015,2015,N/A,,,,
Done,Connected China,Investigation ,Connected China maps out relationships of the Chinese elite power,N/A,Yes,Single,English,Reuters,Reuters,y,US,Fathom,,Connected China shows how China's elite is structured through relational data and identifies who is pulling the strings in the PRC with infovisualization and narratives.,Yes,,,,,Yes,Yes,,Politics,Shadow influence,"China, political system, PRC, Reuters, stories, institutional power, social power, Fathom, who's who ",China,Awareness Raising,General Public,International,Yes,560,"10 M
",N/A,8,"915,069",351,51/100,39/100,,N/A,International,N/A,"Oct 8, 2015",N/A,,http://china.fathom.info/,N/A,,,,,,,,,"Connected China tracks and visualizes the people, institutions and relationships that form China's elite power structure. Launched in February 2013, the app provides deep insight into China’s new generation of leaders and features the best of Reuters’ coverage in data, text, photos and video. It is optimized for iPad 2+ and modern browsers - Chrome and Safari recommended for best user experience. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Outsourced,Outsourced,Traditional,No,No,N/A,N/A,No planning,Updated,Documents,Informal guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Anonymization of datasets ,Signed project,No,,,,,,,,Final Product,N/A,2013,2014,No,,,,
Done,Quien Manda,Who's who,Quien Manda documents and maps relationships of the Spanish elite,http://www.quienmanda.es/images/facebook_avatar.png,Yes,Single,Spanish,"Global Integrity, Sunlight Foundation",Civio,,Spain,,,"By providing information about the relationships and by mapping the ties between politicians and coporations in Spain, this project shows who might be influenced, whose interestests might dominate in the long run.",Yes,Yes,,,Yes,Yes,,,Politics,Tracking corporate influence,"Spain, Civio, network viz, politics, political system, economic interests, who's who, ",Spain,Awareness Raising,General Public,Large Network,,5752,,3,,"2,046,155",,33/100,72/100,,Some,National,N/A,"Oct 8, 2015",N/A,,"
http://www.quienmanda.es/",https://github.com/civio/quienmanda.es,,,,,,,,,Database of people and organisations in Spanish politics and business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Some,Some,Some,Traditional,No,No,Small Project,Single Delivery,No planning,Updated,Relational,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Cited Sources,Signed project,No,,,,,,,,Final Product,2014,2014,2015,,,,,
Done,Muckety,Who's who,Muckety reveals connections between wealthy and influential individuals and big corporations in the world,http://muckety.com/images/muckety-left-logo-banner.gif,Yes,Single,English,Self-commissionned,Muckety LLC,,US,,,The ICIJ analyzed the leaked HSBC files and uncovered the profiles of the main protagonists of this huge financial scandal and revealed the role of countries which took part in this fraud. They did it using stories and by building an archive of the profiles.,Yes,Yes,,,,Yes,,,Exposure,Shadow influence,"network viz, power relationships, US, economic interests, who's who",US,Awareness Raising,General Public,Large Network,,1454,,4,,"1,238,423",,41/100,62/100,,Some,National,N/A,"Oct 8, 2015",N/A,,http://www.muckety.com/,N/A,,,,,,,,,"Muckety publishes network maps and news stories to document paths of influence between government, business and nonprofit affiliations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,Iterative,No planning,Updated,Relational,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Not documented,Signed project,No,Collect,http://news.muckety.com/about-muckety,,,,,,Final Product,2006,2006,2015,Yes,,,,
Done,Lobby Facts,Data provider,Lobby Facts is a repository of information regarding the lobbies present in the Brussels parliament ,http://lobbyfacts.eu/sites/default/themes/omega-ngo/logo.png,Yes,Single,English,"Corporate Europe Observatory, Lobby Control and formerly Friends of the Earth ",N/A,,Belgium ,"
",,"Lobby facts uses the data of the EU transparency register, categorizes the data and makes it available ",Yes,,,,Yes,,,,Lobbying,Traceability ,"lobbies, Europe, lobbying spenders, lobby tracking, power relationships, political structure, stories, statistics, who's who, database",Europe,Awareness Raising,General Public,International,No,N/A,N/A,N/A,,"8,582,841",, 41 /100 ,41/100,,Medium,International,N/A,17/10/2015,N/A,,http://lobbyfacts.eu/,https://github.com/stef/lobbyfacts,,,,,,,,,"Lobby Facts increases awareness about lobbying influence in the EU, exposes privileged access and influence enjoyed by corporations and their lobby groups and campaigns for transparency around lobbying. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,None,Some,Outsourced,Outsourced,N/A,Yes,Yes,N/A,N/A,No planning,N/A,Documents,No guidelines,N/A,External Sources,,No,No,Classification / Tagging / Categories / Linking,No,Open,Cited Sources,Signed project,Scrapable,Collect,http://lobbyfacts.eu/disclaimer,,,,,,Final Product,N/A,N/A,N/A,Yes,,,,
Done,Contropedia,Data provider,Contropedia provides a resource and tool to analyse and visualise ideological controversies on Wikipedia,N/A,Yes,Single,English,European Commission,Universiteit van Amsterdam,,Netherlands,"Sciences Po, Density Design, Barcelona Media, Internet Science network, Digital Methods Initiative, EMAPS",,"This research project -- currently still a demo version -- lets you explore and visualizes Wikipedia controversial articles by browsing through edits and changes stemming from different opinions and ideological agendas. With this research project, not only one can better understand the arguments claimed by the different parties but also can grasp how democratic debates get influenced by particular interests.",,Yes,,,Yes,,Yes,,"Controversies
",Tracking democratic debates,"wikipedia, controversies, debate, argumentation, bias, information curation, media",World,Research,Broad Professional/Sectoral,Large Network,No, ,,2,,"8,757,424",,17/100,48/100,,Some,International,Academic papers,12/8/2015,N/A,,https://www.contropedia.net,http://www.contropedia.net/#code,,,,,,,,,A platform that enables you to view edits and history of controversial topics on Wikipedia,http://ctrlv.in/687595,WikiTalk Parser,ABCD-Gephi-Plugin,ContropediaTalk,,,Sigma.js,d3.js,,,,,,,,,,,,,,,,,,,,Custom,,,Custom / Innovative,,,,Medium,None,Dedicated,Dedicated,Dedicated,Agile,Yes,No,N/A,N/A,No planning,N/A,Complex,No guidelines,N/A,External Sources,,No,N/A,Machine Learning,N/A,N/A,Cited Sources,Signed project,Scrapable,Collect,http://contropedia.net,Organise,http://www.contropedia.net/publications/Borra%20et%20al.%20-%202015%20-%20Societal%20Controversies%20in%20Wikipedia%20Articles%20-%20post-print.pdf,,,,Beta version,2014,2014,2015,Yes,,,,
Done,The Fifa Files,Investigation ,The Sunday Times analysis of leaked files from the FIFA exposing one of the biggest scandals of soccer history,N/A,Yes,Single,English,Self-commissionned,Sunday Times,y,UK,,,"The Sunday Times shared the stories explaining the Fifa Files and what they contain but they also created a visualization of a sample of the emails exchanged by the different protagonists of the scandal, giving the readers an overview of the leaks.",Yes,Yes,,,Yes,,"
",,"Finance, Sports",Tracking corruption,"FIFA scandal, emails, soccer, sports, stories, Times, journalism, corruption, corruption",World,Awareness Raising,General Public,International,No,,331K,7,7,"16,671","22,904",65/100,32/100,,High ,International,"Now that the evidence has been published, Blatter, Platini have been sued.",19/10/2015,N/A,,http://times-fifafiles-prod.elasticbeanstalk.com/,,,,,,,,,,"Explore an inbox containing typical examples of some of the millions of documents from the Fifa Files, links to all Sunday Times stories that arose from the leaked documents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,N/A,Sensitive,No planning,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Anonymization of sources,Signed project,Scrapable,Organise,http://times-fifafiles-prod.elasticbeanstalk.com,,,,,,Final Product,2015,2015,2015,No,,,,
Done,a HÁLÓ,Who's who,"a HÁLÓ exposes the connections between politicians, corporations and politicians and public funds attributed to them",N/A,Yes,Collection,Hungarian,"CEE Trust, Open Society Institute",K-Monitor,y,Hungary,"K-Monitor, TASZ, Transparency International, PetaByte, Institut Français de Hongrie",,"A HÁLÓ is a database which make available to the public documents such as profiles of politicians, leaders but also procurement procedures, EU-funds and farm subsidies in order to analyse the backstage of political and economic decision-making and uncover possible corruption leads.
mechanisms. 
",Yes,Yes,,,Yes,Yes,,Yes,Politics,Tracking corruption,"Hungary, social network, viz, politics, ahalo, politics ",Hungary,Awareness Raising,General Public,Small Network,No,,172,0,5,0,"1,633,312","13/100
",20/100,,Some,National,N/A,19/10/2015,N/A,,http://ahalo.hu,https://github.com/balintbb/hazaitop/,,,,,,,,,"A Halo sheds light on networks of relationships between politicians, business people and the state funds they receive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Dedicated,Some,Agile,Yes,Yes,N/A,N/A,No planning,No planning,Complex,N/A,N/A,External Sources,Trained Collectors,N/A,N/A,Graph,Basic,Open,Signed project,,API,,,,,,,,Beta version,2010,2010,2015,yes,,,,
Done,Dollars for Docs,Data provider,Dollars for Docs shows details of financial payments from pharmaceutical companies to doctors in the US,N/A,Yes,Single,English,ProPublica,ProPublica,y,US,Formerly in cooperation with Pharmashine,,"ProPublica use details of payments disclosed under the under the Physician Payment Sunshine Act, released by the Centers for Medicare and Medicaid Services, and have created from them a series of databases to allow patients to see whether their doctor receives funds from drug and medical device companies. Historic data is archived and remains available.",Yes,Yes,,,Yes,,Yes,,Health,Tracking financial influence,"US, corporate interests, health, doctors, propublica, pharmaceuticals, medical",US,Awareness Raising,General Public,International,No,,409K,,7,,"342,430",84/100,80/100,,Very High,National,Transparency of the sector has led to a dramatic scaling back of payments by drug and medical device companies to doctors https://www.propublica.org/article/as-full-disclosure-nears-doctors-pay-for-drug-talks-plummets,22/10/2015,N/A,,https://projects.propublica.org/docdollars/,,,,,,,,,,"Pharmaceutical and medical device companies are now required by law to release details of their payments to a variety of doctors and U.S. teaching hospitals for promotional talks, research and consulting, among other categories. ProPublica are turning this information into an easy-to-use database, in website and app form, so that patients can quickly discover the payments made to their doctor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Some,Dedicated,Agile,No,No,N/A,No,No planning,No planning,List,No guidelines,N/A,External Sources,,Corroborated,Manual,Classification / Tagging / Categories / Linking,Basic,Restricted,Cited Sources,Signed project,Scrapable,Collect,https://www.propublica.org/article/about-the-dollars-for-docs-data,Organise,https://www.propublica.org/article/about-the-dollars-for-docs-data,,, Archive available at http://projects.propublica.org/d4d-archive/,Final Product,2010,2010,2015,N/A,,,,
"For Review Jun
",InfoAmazonia,Data provider,"InfoAmazonia provides stories, news and data about the endangered Amazon region ",http://infoamazonia.org/wp-content/themes/infoamazonia/img/logo.png,No,Single,English,Skoll Foundation,oEco,,Brazil,"oEco, ICFJ, Internews, Avina, CDKN",,"Infoamazonia is a database of map-based data, a participatory project between citizens and journalists to share information about humanitarian and environmental issues in the endangered Amazonian region.",Yes,,Yes,,Yes,,Yes,Yes,Environment,Damage to the Amazonian region,"environment, Amazonia, Amazonian forest, Infoamazonia, maps, infoviz, crowdsourcing, database, Amazon, citizen journalism",Amazonian region,Movement Building,Broad Professional/Sectoral,Large Network,yes,1957,,5,,"1,806,528",,40/100,73/100,,Medium,International,N/A,22/10/2015,N/A,,http://infoamazonia.org/en,https://github.com/oeco/infoamazonia-maps,,,,,,,,,InfoAmazonia provides timely news and reports of the endangered Amazon region.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Outsourced,Dedicated,Traditional,No,No,N/A,N/A,No planning,No planning,Complex,No guidelines,N/A,Trained Collectors,,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Public,Signed project,Anonymization of datasets ,Dump,,,,,,,,Final Product,2012,N/A,2015,yes,,,,
For Review Jun,OpenCorporates,Data provider,OpenCorporates is the largest open database of companies in the world ,https://d2ijupb52dd0cs.cloudfront.net/assets/skins/2014/header-logo-6f626e07a73e88b31dcd78a15b8ed1e3.png,Yes,Single,English,Chrinon Ltd ,Chrinon Ltd,,UK,,,"OpenCorporates are building an open database of all the corporations in the world, using basic company data from ScraperWiki alongside data from multiple other governmental sources and community generated content",,yes,,,yes,Yes,,yes,Finance,Tracking corporate entities,"database, corporate interests, open corporates, world, ",World,Research,Broad Professional/Sectoral,International,yes,3437,,6,,"33,488",,58/100,80/100,,Very High,International,N/A,22/10/2015,N/A,,"
http://opencorporates.com/",,,,,,,,,,"OpenCorporates exists to make information about companies and the corporate world more accessible, more discoverable, and more usable, and thus give citizens, community groups, journalists, other companies, and society as a whole the ability to understand, monitor and regulate them. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Dedicated,Dedicated,N/A,Yes,Yes,N/A,N/A,N/A,Dynamic,List,N/A,N/A,Crowdsourced,External Sources,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Open,Signed project,,API,Publish,https://opencorporates.com/info/licence,Collect,https://opencorporates.com/info/licence,,,,Final Product,2010,2010,2015,yes,,,,
For review Jun,OpenInterests,Data provider,OpenInterests is a catalogue of political and commercial actors related to the European Union,N/A,Yes,Single,English,Self-commissioned,,,Germany,"Corporate Europe Observatory (CEO), Friends of the Earth Europe (FoEE), LobbyControl, OKFN Labs, Knight-Mozilla OpenNews",,"Listing data from a number of sources, OpenInterests is a search engine for information about and links between the political and commercial actors around the European Union",,yes,,,yes,,,,Lobbying,Tracking relationships in the European Union,"database, lobbying, european institutions, corporate interests, transparency, Europe, ",Europe,Awareness Raising,Broad Professional/Sectoral,Large Network,no,,,N.A,,"4,744,779",,25/100,24/100,,Some,International,N/A,22/10/2015,N/A,,http://www.openinterests.eu/,https://github.com/pudo/openinterests.eu,,,,,,,,,"OpenInterests catalogues actors involved in lobbying, expert groups, public expenditure and procurement so you can explore the interactions between them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Some,Dedicated,Dedicated,Dedicated,Traditional,Yes,No,N/A,N/A,N/A,N/A,List,N/A,N/A,External Sources,,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Public,Cited Sources,Signed project,Dump,,,,,,,,Final Product,2013,2013,2015,no,,,,
Done,Every Politician,Data provider,Every Politician aims to provide data about every politician in the world ,N/A,Maybe,Single,English,MySociety,Poplus,,UK,,"Because this resource doesn’t yet exist. And it would be incredibly useful, for a huge number of people and organisations all around the world.",Every Politician has a series of scrapers that gather data to help create a consistent database of representatives all over the world,,yes,yes,,yes,,,yes,Politics,Tracing politicians,"database, world, Mysociety, MPs. representatives, politics, representatives, ",World,Awareness Raising,General Public,International,no,,10.5K,n.a,5,"5,408,839","457,744",26/100,31/100,,N/A,International,N/A,22/10/2015,N/A,,http://everypolitician.org/,https://github.com/everypolitician,,,,,,,,,"it’s a simple but ambitious project to collect and share that data, in a consistent, open format that anyone can use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,Yes,Yes,N/A,N/A,N/A,N/A,List,N/A,N/A,Trained Collectors,Crowdsourced,N/A,Expert,Classification / Tagging / Categories / Linking,Machine Readable,Open,Signed project,,Dump,Organise,http://everypolitician.org/data_structure.html,,,,,,Final Product,,2015,2015,yes,,,,
Done,Open Oil Corporate Networks,Investigation ,"Open Oil Corporate Networks is an open data system to give an insight into the corporate structures that make up the oil, gas and mining industries ",https://openoil.net/wp/wp-content/uploads/2013/01/openoil-header.png,Yes,Collection,English,Open Oil,Open Oil,,Germany,OpenCorporates,,"The Open Oil Corporate Networks system uses interoperable data formats, clear editorial standards, and public domain data to create network graphs of companies and entities in the oil, gas and mining industries.",yes,yes,Yes,,yes,Yes,,yes,Extractives,Making the oil industry accountable,"oil contracts, open oil, extractives, database, investigations, repository ",World,Awareness Raising,Broad Professional/Sectoral,International,No,,1955,n.a,5,"812,580","812,580",40/100,58/100,,Some,International,N/A,22/10/2015,N/A,,https://data.openoil.net/,https://github.com/iilab/openoil,,,,,,,,,"OpenOil was founded in the belief that creative, practical and socially progressive policy making in the oil and gas industries is both vital to our collective future, and possible within current constraints.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Dedicated,Dedicated,Outsourced,Outsourced,Agile,Yes,Yes,N/A,N/A,N/A,N/A,Documents,N/A,N/A,Trained Collectors,External Sources,Corroborated,N/A,Classification / Tagging / Categories / Linking,N/A,Open,Cited Sources,Signed project,API,,,,,,,,Final Product,N/A,N/A,2015,yes,,,,
