Status,Name,Category/Type,Teaser,Image,Influence Mapping,Collection,Language,Commissioner,Publisher,Publisher Country,Partners,Rationale (Why?),Approach (How?),Narrative,Query,Geographic Map,Timelines,Lists,Network Viz,Other  Viz,Export,Thematic Focus,Issue addressed,Keywords,Geographic Focus,Intended Impact,Target Audience,Online audience reached,Does the project have a twitter account?,Twitter Followers,Publisher's Twitter Followers (if needed),Google Page Rank,Newspasper's/Publisher's Page Rank (if applicable),Alexa Pange Rank,Newspaper's / Publisher's Alexa Page Rank (if applicable),OSE Domain Authority Rank,Marketing Grader Rank,Comments,News source,Offline Audience Reached,Outcome,Update date,Attempts against the project ,Attempts against the project #2,URL,Code URL,Description,Tool,Tool,Tool,Other tools,Team Size,Research,Data Science,Engineering,Design,Project Methodology,Open Source,Open data,Budget,Contracting,Risk Planning,Sustainability Planning,Data Modeling,Ethical Collection,Ethical storage,Data collection,Data Collection #2,Data verification,Data cleaning,Data Analysis,Data Description,Data Licencing,Ethical publishing,Ethical publishing #2,Data Publishing Mode,1,URL,2,URL,3,URL,,,,,Most recent update,Regularly Updated,,,,,Notes,Alternate News Sources,,
For Review Jun,Muckety,Who's who,"Mapping connections of the rich, famous & influential
",http://muckety.com/images/muckety-left-logo-banner.gif,Yes,Single,English,Self-commissionned,Muckety LLC,US,,,Mapping influence paths between individuals and corporations.,Yes,Yes,,,,Yes,,,Exposure,Shadow influence,"network viz, power relationships, US, economic interests, who's who",US,Awareness Raising,General Public,Large Network,,1454,,4,,"1,238,423",,,,,,National,N/A,"Oct 8, 2015",N/A,,http://www.muckety.com/,N/A,"Muckety publishes network maps and news stories to document paths of influence between government, business and nonprofit affiliations.",,,,,Medium,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,Iterative,No planning,Updated,Relational,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Not documented,Signed project,No,Data Collection,http://news.muckety.com/about-muckety,,,,,,Final Product,2006,,"Sep 1, 2015",Yes,60,37,56,66%,,,,
For Review Jun,Who do they Serve,Who's who,N/A,N/A,Yes,Single,English,Anonymous,Anonymous,UK,,,"Mapping relationships between individuals, corporations and worldwide networks to uncover conflicts of interests.",,,,,Yes,Yes,,Yes,Exposure,Shadow influence,"power relationships, economic interests, institutional powers, network viz, who's who",World,Awareness Raising,General Public,,No,N/A,N/A,1,,"2,190,973",,,,,,,N/A,10/12/2015,,,http://www.whodotheyserve.com/,https://github.com/dizzib/WhoDoTheyServe.com,"WhoDoTheyServe.com is a non-profit opensource effort to map the
global political, financial and corporate power structure at the highest levels.
A secondary purpose is to highlight possible conflict of interest.",,,,,N/A,Some,None,Some,Some,N/A,Yes,No,N/A,N/A,No planning,Updated,Relational,No guidelines,N/A,External Sources,,No,N/A,Classification / Tagging / Categories / Linking,No,Public,Not documented,,API,,,,,,,,Final Product,N/A,N/A,"Oct 12, 2015",Yes,57,37,56,66%,,,,
For Review Kat,Swiss Leaks,Investigation ,The leaked HSBC files offer a rare glimpse inside one of the world’s most private banking systems.,N/A,Yes,Single,English,Self-commissionned,ICIJ,US,,,ICIJ analyzed the leaked HSBC files and uncovered the profiles of the main protagonists of this huge financial scandal and revealed the role of countries which took part in this fraud. They did it using stories and by building an archive of the profiles.,Yes,,Yes,,Yes,,,,Finance,Traceability ,"
financial flows, financial tracking, stories, datajournalism, ICIJ, banking system, HSBC leaks, Swissleaks",World,Awareness Raising,General Public,International,No,N/A,"41.2K 
",N/A,7,,"172,117",78/100,63/100,,,International,N/A,17/10/2015,N/A,,http://www.icij.org/project/swiss-leaks/explore-swiss-leaks-data,https://github.com/swissleaks/swiss_leaks_data,"Swiss Leaks is a collaborative investigation that exposes how the Swiss branch of one of the world’s biggest banks, HSBC, profited from doing business with tax dodgers and criminals around the world. It is a worldwide investigation conducted by the ICIJ.",,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,N/A,No,No,N/A,N/A,Minimal,Updated,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,,Scrapable,,,,,,,,Final Product,N/A,N/A,N/A,N/A,63,37,56,66%,,,,
For Review Kat,Lobby Facts,Data provider,Who are the biggest spenders in lobbying? Which organisations have the most EU parliament lobbyist passes? Is there a balance between corporate and public interest lobbying? LobbyFacts digests and analyses the data to help you answer these kinds of questions.,http://lobbyfacts.eu/sites/default/themes/omega-ngo/logo.png,Yes,Single,English,Self-commissionned,,Belgium ,"Corporate Europe Observatory, Lobby Control and Friends of Earth Europe",,"Lobby facts uses the data of the EU transparency register, categorizes the data and makes it available ",Yes,,,,Yes,,,,Lobbying,Traceability ,"lobbies, Europe, lobbying spenders, lobby tracking, power relationships, political structure, stories, statistics, who's who, database",Europe,Awareness Raising,General Public,International,No,N/A,N/A,N/A,,"8,582,841",, 41 /100 ,41/100,,52,International,N/A,17/10/2015,N/A,,http://lobbyfacts.eu/,,Lobby Facts increases awareness about lobbying influence in the EU exposes privileged access and influence enjoyed by corporations and their lobby groupsCampaign for transparency around lobbying. ,,,,,Medium,None,Some,Outsourced,Outsourced,N/A,No,No,N/A,N/A,No planning,N/A,Documents,No guidelines,N/A,External Sources,,No,No,Classification / Tagging / Categories / Linking,No,Restricted,Cited Sources,Signed project,Scrapable,Data Collection,http://lobbyfacts.eu/disclaimer,,,,,,Final Product,N/A,N/A,N/A,Yes,64,38,56,68%,,,,
For Review Kat,Influence Explorer,Data provider,"Explore Companies, lawmakers, prominent individuals that matter to you and see how they're influencing the political system.",N/A,Yes,Collection,English,Sunlight Foundation,Sunlight Labs,US,"Center for Responsive Politics, the National Institute on Money in State Politics, Taxpayers for Common Sense, the Project On Government Oversight, the EPA and USASpending.gov.",,"Influence Explorer connects the dots of political contributions on the federal and state level allowing you to track influence by lawmaker, company or prominent individual.",,"Yes
",,,Yes,,Yes,Yes,Lobbying,Traceability ,"lobbies, US, lobbying spenders, lobby tracking, power relationships, political structure, stories, who's who, database, Sunlight Foundation",US,Research,Expert Audience,Large Network,No,N/A,44.3K,5,,"523,291",, 67 /100 ,79/100,,,National,N/A,17/10/2015,N/A,,http://influenceexplorer.com/,,"Influence Explorer provides an overview of campaign finance, lobbying, earmark, contractor misconduct and federal spending data.",,,,,Large,None,Dedicated,Dedicated,Dedicated,N/A,Yes,No,N/A,N/A,No planning,Updated,Complex,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,Detailed,Public,Cited Sources,Signed project,API,Data Publishing,http://sunlightlabs.github.io/datacommons/,Data Collection,http://influenceexplorer.com/about/methodology,,,,Final Product,2010,N/A,"Jul 7, 1905","
Yes ",68,39,56,70%,,,,
For Review Kat,The counted,Investigation ,People killed by police in the US,N/A,No,Single,English,Self-commissionned,The Guardian,UK,,,"By counting the number of killings by the police and taking into account several factors such as race, state, The Guardian is currently building -- with the help of Internet users -- a very first database of all the killings and indirect casualties committed by the police in the US.",Yes,"Yes
",Yes,,Yes,,,Yes,Justice,Abuses of power,"US, blacklivesmatter, accountability, police, killings, database, statistics, viz, journalism, The Guardian",US,Movement Building,General Public,International,Yes,13.4K,4.37M,N/A,7,,135,,87/100,,10 000,International,"Raising questions about the data collection done by the FBI, as it offers no category for recording killings by law enforcement officers of people who were not felons. It might change how these murders are counted in the long run.",17/10/2015,N/A,,"
http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/the-counted-police-killings-us-database",,The Guardian is counting the people killed by US law enforcement agencies this year.,,,,,Large,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,N/A,No planning,Updated,Complex,No guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Restricted,Cited Sources,Signed project,Dump,Project Management,http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/about-the-counted,Data Collection,http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/about-the-counted,,,,Final Product,2015,2015,"Oct 15, 2015",Yes,70,39,56,70%,,,,
For Review Kat,The Next to Die,Investigation ,Watching Death Row,N/A,Maybe,Single,English,Self-commissionned,"The Marshall Project
",United States,"AL.com, The Atlanta Journal-Constitution, The Frontier, Houston Chronicle, St Louis Public Radio, Tampa Bay Times, The Virginian pilote",,By putting a face on convicted persons who are executed and keeping track of every single deaths in every state through infoviz and thorough reporting.,Yes,,,,,,yes,,Justice,,"stories, prison, US, advocacy, penitentiary system, journalism ",US,Awareness Raising,General Public,National,Yes,435,22.6K,N/A,N/A,108.2,N/A,,70/100,,10,National,N/A,19/10/2015,N/A,,https://www.themarshallproject.org/next-to-die,,"
Raises awareness about the necessity of a US penitental system's reform and provides exhaustive data on criminal justice in the US ",,,,,Small,Dedicated,Some,None,Dedicated,Traditional,No,No,N/A,N/A,No planning,No planning,Documents,No guidelines,N/A,Trained Collectors,External Sources,Corroborated,N/A,Simple,No,Restricted,Cited Sources,Signed project,No,,,,,,,,Final Product,2015,2015,N/A,Yes,64,40,56,71%,,,,
For Review Kat,Contropedia,Data provider,Analysis and visualization of controversies within Wikipedia articles,N/A,Maybe,Single,English,Internet Science ,,Netherlands,"Sciences Po, UvA, Density Design, Barcelona Media, Internet Science network",,"Through the exploration and visualization of Wikipedia controversial articles, the user can see how people's opinions and agendas influence the actual published content.",,Yes,,,Yes,,Yes,,"Controversies
", Wikipedia,"wikipedia, controversies, Sciences Po Medialab, Digital Methods Initiative, ",World,Research,Broad Professional/Sectoral,Large Network,No, ,,2,,"8,757,424",,,48/100,,1,Local,Academic papers,19/10/2015,N/A,,https://www.contropedia.net,http://www.contropedia.net/#code,A platform that enables you to view edits and history of controversial topics on Wikipedia,,,,,Medium,None,Dedicated,Dedicated,Dedicated,Agile,Yes,No,N/A,N/A,No planning,N/A,Complex,No guidelines,N/A,External Sources,,No,N/A,Machine Learning,N/A,N/A,Cited Sources,Signed project,Scrapable,,,,,,,,Beta version,2014,2014,2015,Yes,62,38,56,68%,,,,
For Review Kat,The Fifa Files,Investigation ,N/A,N/A,Maybe,Single,English,Self-commissionned,Sunday Times,UK,,,"The Sunday Times chose share the stories detailing and explaining the Fifa Files and they also created a visualization of the emails exchanged by the different protagonists of the scandal, giving the readers a better overview of the leaks.",Yes,Yes,,,Yes,,"
",,Finance ,Sports,"FIFA scandal, emails, soccer, sports, stories, Times, journalism",World,Awareness Raising,General Public,International,No,,331K,7,,"16,671","22,904",65/100,12/100,,55,International,"Now that the evidence has been published, Blatter, Platini have been sued.",19/10/2015,N/A,,http://times-fifafiles-prod.elasticbeanstalk.com/,,Explore an inbox containing typical examples of some of the millions of documents from the Fifa Files,,,,,Medium,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,N/A,Sensitive,No planning,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Anonymization of data ,Signed project,Scrapable,,,,,,,,Final Product,2015,2015,2015,No,64,38,56,68%,,,,
For Review Kat,Lobby radar ,Who's who,ZDF-Lobbyradar bringt Transparenz in das Netzwerk der Macht. Sehen Sie hier alle Beiträge zum Lobbyradar!,https://www.lobbyradar.de/assets/images/zdf-lobbyradar-logo.svg,Yes,Single,German,Self-commissionned,ZDF heute,Germany,,,"By documenting and mapping the network of connections between industrial lobbies and politicians, this project enables the users to access the information to know who is influencing who.",Yes,,,,,Yes,,,Lobbying,"
","journalism, Heute, Germany, lobbying, network viz, politics, institutional powers, ",Germany,Awareness Raising,General Public,National,Yes,62,703K,N/A,8,"3,398,691",2933, 13 /100 ,N/A,,15,National,N/A,19/10/2015,N/A,,https://www.lobbyradar.de/verbindungssuche,https://github.com/lobbyradar,Lobby radar uncovers relationships between lobbies and german policymakers. ,,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,No,No,N/A,N/A,No planning,No planning,Relational,No guidelines,N/A,External Sources,Trained Collectors,Corroborated,N/A,Graph,N/A,Restricted,Cited Sources,Signed project,Scrapable,,,,,,,,Final Product,2015,2015,2015,N/A,66,39,56,70%,,,,
For Review Kat,a HÁLÓ,Who's who,N/A,N/A,Yes,Single,Hungarian,N/A,K-Monitor,Hungary,"K-Monitor, Tasz, Transparency International, PetaByte, Institut Français de Hongrie",,"The project documents thorugh visualizations and categorization of datasets the network of relationships between politicians, business people and state funds they receive.",Yes,Yes,,,Yes,Yes,,Yes,Politics,Tracking corruption,"Hungary, social network, viz, politics, ahalo, politics ",Hungary,Awareness Raising,General Public,Large Network,No,,,0,,0,21/100,"13/100
",,,10,National,N/A,19/10/2015,N/A,,http://ahalo.hu,https://github.com/balintbb/hazaitop/,"A Halo sheds light on networks of relationships between politicians, business people and the state funds they receive.",,,,,Medium,Dedicated,Dedicated,Dedicated,Some,Agile,Yes,Yes,N/A,N/A,No planning,No planning,Complex,N/A,N/A,External Sources,Trained Collectors,N/A,N/A,Graph,Basic,Open,Signed project,,API,,,,,,,,Beta version,2010,2010,2015,yes,65,39,56,70%,,,,
For Review Kat,Rise Project ,Investigation ,N/A,https://www.riseproject.ro/wp-content/themes/Rise2015/images/logo.png,Yes,Single,Romanian,N/A,N/A,Romania,"OCCRP, Investigative Dashboard, HotNews.ro, Visual Investigative scenario, Swiss-Romanian Cooperation Programme,  ",,The Rise Project shares stories and visualizations to help revealing the organized crime networks and the political and economic corruptions.,Yes,,,,Yes,Yes,,,"
Exposure",State capture,"stories, Romania,organized crime, OCCRP, riseproject, infographics, investigations",Romania,Movement Building,N/A,Large Network,yes,188,,4,,"357,721",,,74/100,,3,Regional ,N/A,19/10/2015,N/A,,http://www.riseproject.ro/,,Who is who within the organized crime and business in Romania,,,,,Large,Dedicated,Dedicated,Some,Outsourced,N/A,No,No,N/A,N/A,Minimal,No planning,Relational,N/A,N/A,Trained Collectors,External Sources,Corroborated,N/A,Graph,No,Restricted,Signed project,,No,,,,,,,,Final Product,2012?,?,2015,yes,62,39,56,70%,,,,
For Review Kat,Justiciapedia,Who's who,La plataforma para conocer más el Poder Judicial,,Yes,Single,Spanish,NED,Chequeado,Argentina,,,"Justiciapedia maps who is who in the Argentian judiciary system. By providing social networks maps and profiles of the lawyers, judges and prosectors, it aims at connecting the dots to make the system more transparent and legible.",,"Yes
",,,Yes,Yes,,,Justice,Abuses of power,"popolo, judiciary system, Argentina, who's who, network viz, database, poderopedia, justice",Argentina,Awareness Raising,General Public,Small Network,No,,,N/A,,"142,867",,,78/100,,,Local,N/A,19/10/2015,N/A,,http://chequeado.com/justiciapedia/,,"A platform which enables to know which are the relationships between administrators of Justice: judges, lawyers and prosecutors.",,,,,Small,Dedicated,Some,Some,Some,Traditional,No,No,N/A,N/A,No planning,No planning,Relational,No guidelines,N/A,Trained Collectors,External Sources,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,Cited Sources,Scrapable,,,,,,,,Final Product,2015,2015,2015,yes,59,39,56,70%,,,,
